-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -13.3558   Longitude 33.3205 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1088.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,80.07,85.49,85.86,81.13,77.39,68.95,63.55,55.75,47.38,48.16,53.94,68.43,67.92
RH2M,1982,83.6,86.62,84.57,85.26,81.88,79.84,73.35,67.98,56.71,62.01,66.42,79.29,75.58
RH2M,1983,81.09,82.79,84.31,82.41,77.85,69.04,66.89,56.7,48.2,47.12,48.74,79.36,68.67
RH2M,1984,82.41,86.43,87.4,83.93,82.76,79.24,72.74,59.82,49.3,47.66,69.99,80.65,73.49
RH2M,1985,83.96,86.56,88.24,84.93,82.42,77.46,72.51,67.78,60.03,53.41,66.6,80.95,75.35
RH2M,1986,86.34,84.65,85.72,85.96,80.9,74.61,68.02,56.5,50.41,56.32,67.72,81.46,73.16
RH2M,1987,85.32,85.69,83.68,81.45,79.14,71.19,65.04,62.89,50.39,47.34,46.58,69.11,68.92
RH2M,1988,82.57,84.68,86.32,85.25,80.85,77.2,71.02,59.74,48.99,53.52,55.62,68.74,71.18
RH2M,1989,85.02,88.67,87.94,86.36,83.35,80.09,74.46,69.95,56.97,51.15,59.11,76.03,74.86
RH2M,1990,84.58,84.39,81.77,81.8,78.73,70.36,61.04,56.74,46.1,41.34,49.06,69.23,67.01
RH2M,1991,82.1,83.53,85.75,78.72,73.5,64.08,61.94,49.34,40.98,48.59,61.51,73.57,66.89
RH2M,1992,76.62,68.87,79.66,72.22,69.55,63.13,55.61,49.15,42.19,41.6,54.79,73.03,62.21
