-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -16.0641   Longitude 35.142 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 557.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,77.52,86.93,85.29,79.51,75.43,64.68,64.83,57.24,48.59,49.36,48.36,64.61,66.77
RH2M,1982,82.61,87.59,85.04,80.5,74.64,67.28,67.5,56.09,52.55,54.88,57.01,67.54,69.34
RH2M,1983,67.55,78.89,78.32,66.25,62.97,58.52,62.76,60.23,40.62,50.1,53.13,78.93,63.15
RH2M,1984,80.22,87.26,86.53,84.99,79.7,76.66,66.06,55.94,43.22,42.73,67.58,75.36,70.46
RH2M,1985,82.78,88.05,85.61,84.62,76.05,66.95,62.38,57.31,49.86,50.34,55.45,80.03,69.87
RH2M,1986,88.03,86.7,84.18,83.79,72.94,68.04,60.17,46.48,43.31,54.27,67.64,78.24,69.38
RH2M,1987,83.58,83.21,77.47,70.91,67.23,66.72,60.01,52.67,43.08,47.39,43.2,68.44,63.58
RH2M,1988,74.17,84.17,86.11,79.34,76.66,65.55,65.02,54.39,43.59,49.07,62.38,67.96,67.33
RH2M,1989,75.6,88.95,87.79,86.02,75.41,67.82,59.87,52.64,45.77,44.94,54.1,75.08,67.71
RH2M,1990,83.28,84.57,70.84,65.74,68.98,60.89,51.53,53.23,48.32,39.66,47.02,59.2,60.97
RH2M,1991,75.17,82.01,85.17,82.2,67.81,62.81,57.54,48.86,37.74,47.83,60.97,66.41,64.44
RH2M,1992,67.13,58.42,63.24,55.72,51.72,58.34,57.49,52.03,39.39,38.57,52.98,67.55,55.24
RH2M,1993,81.61,83.91,79.1,69.27,57.25,59.68,58.73,51.15,42.0,45.44,56.81,62.61,62.18
RH2M,1994,73.49,76.6,70.55,63.77,53.77,58.09,58.65,55.1,45.24,51.69,40.9,63.1,59.18
RH2M,1995,82.72,81.55,75.96,68.35,66.95,62.31,57.88,52.43,41.58,36.42,51.08,74.22,62.54
RH2M,1996,81.86,87.03,87.78,80.84,73.83,69.77,66.06,54.36,43.66,39.38,41.25,74.28,66.65
RH2M,1997,85.47,90.6,87.14,84.38,75.76,67.27,70.19,52.05,51.32,56.93,51.27,72.52,70.32
RH2M,1998,81.66,76.14,69.54,58.48,47.68,54.24,55.01,64.15,45.46,45.65,55.73,76.87,60.84
RH2M,1999,87.94,88.24,89.13,86.84,78.49,72.63,70.34,61.19,51.31,49.78,59.65,61.34,71.31
