-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -15.7443   Longitude 35.2023 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 663.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,78.1,86.46,85.53,82.21,78.75,69.64,68.19,61.87,51.83,51.09,52.22,68.01,69.41
RH2M,1982,82.87,87.13,84.96,82.9,79.42,75.48,71.88,63.38,56.87,57.65,60.66,72.38,72.89
RH2M,1983,71.32,80.09,78.35,68.21,67.65,60.84,63.57,59.66,42.83,49.63,57.09,79.99,64.9
RH2M,1984,81.46,87.81,87.31,85.09,83.86,80.92,74.4,65.49,52.69,47.88,71.19,78.92,74.71
RH2M,1985,83.49,87.9,86.07,84.93,80.61,74.81,71.31,66.3,58.6,54.15,59.5,81.74,74.06
RH2M,1986,87.32,86.48,85.23,85.96,79.49,75.4,70.82,60.22,51.07,56.95,69.95,79.46,73.96
RH2M,1987,83.52,84.13,81.57,78.37,76.5,71.83,65.98,61.31,49.15,48.29,43.98,70.18,67.84
RH2M,1988,77.79,84.59,85.44,81.18,78.77,70.5,68.07,58.04,45.18,50.77,61.55,69.89,69.28
RH2M,1989,78.4,88.27,86.96,86.48,79.67,76.2,68.93,63.33,51.84,46.61,57.52,78.05,71.76
RH2M,1990,83.5,83.06,74.98,70.91,71.79,64.91,55.22,53.06,48.67,40.77,47.09,63.71,63.03
RH2M,1991,79.47,82.53,84.46,82.13,71.59,68.06,63.56,52.9,40.98,49.69,62.73,69.71,67.23
RH2M,1992,75.69,62.81,69.55,59.75,55.04,59.85,57.63,52.28,40.31,39.19,54.24,69.67,58.02
