-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -13.9774   Longitude 33.0721 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1062.08 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,78.86,85.38,85.4,81.21,78.05,69.23,64.37,55.11,46.19,46.67,52.46,68.14,67.5
RH2M,1982,82.82,86.33,83.98,83.84,80.71,77.61,71.22,63.71,52.93,60.25,64.62,76.9,73.68
RH2M,1983,79.14,81.5,82.11,77.36,72.47,64.98,64.06,54.63,42.73,44.26,46.96,79.71,65.78
RH2M,1984,81.27,86.14,86.25,83.01,81.32,77.65,69.72,57.51,44.69,43.98,68.93,79.89,71.65
RH2M,1985,84.13,87.1,87.41,85.29,81.77,77.48,71.67,66.66,57.79,50.34,64.99,80.6,74.54
RH2M,1986,86.26,84.6,84.99,85.39,80.4,73.55,66.03,53.99,46.9,57.12,68.63,80.04,72.26
RH2M,1987,83.2,83.93,81.36,77.42,74.24,66.74,61.42,57.35,46.36,46.99,45.23,70.1,66.13
RH2M,1988,81.51,84.05,85.75,84.09,80.24,75.04,69.01,58.27,45.81,53.36,54.55,68.54,70.0
RH2M,1989,84.0,88.32,87.63,85.79,82.45,79.47,73.0,66.95,53.7,46.83,58.05,75.97,73.44
RH2M,1990,83.75,83.61,79.96,79.61,76.3,67.24,59.22,54.23,45.02,39.44,47.82,68.06,65.26
RH2M,1991,81.25,82.41,83.96,76.9,68.54,62.44,59.39,47.55,37.96,46.18,60.25,71.8,64.8
RH2M,1992,73.91,63.32,74.6,65.04,61.52,56.8,52.64,47.41,37.64,38.42,53.91,71.72,58.1
RH2M,1993,80.59,85.44,85.35,83.19,75.38,73.5,69.52,60.97,49.09,45.8,58.76,64.76,69.27
RH2M,1994,81.91,80.93,73.58,69.5,57.27,59.3,56.99,51.8,40.43,45.63,42.65,67.95,60.58
RH2M,1995,80.62,78.96,79.39,70.03,65.59,57.91,53.29,51.39,39.1,39.32,43.99,72.73,60.97
RH2M,1996,82.14,85.28,85.83,81.02,81.37,73.13,64.83,53.21,44.84,43.48,41.79,73.74,67.54
RH2M,1997,84.65,87.44,85.36,84.28,78.77,75.45,71.05,57.53,51.32,52.56,56.06,77.68,71.77
RH2M,1998,83.36,72.52,76.36,60.88,47.66,50.36,51.27,51.41,42.63,44.19,52.13,71.46,58.65
RH2M,1999,84.34,85.78,86.47,85.02,79.96,74.54,72.75,64.8,52.41,47.56,62.82,62.28,71.48
RH2M,2000,75.01,82.25,84.48,76.47,64.28,63.91,60.38,54.76,40.96,42.99,69.22,78.1,66.02
RH2M,2001,79.55,85.99,85.58,80.56,72.22,64.97,59.82,53.38,40.28,40.35,49.47,70.67,65.14
RH2M,2002,80.84,79.64,78.55,72.76,60.41,62.6,55.04,54.52,50.33,44.03,46.51,68.01,62.68
RH2M,2003,78.03,83.25,83.92,78.57,69.41,66.39,65.25,49.38,49.31,40.2,49.46,77.31,65.78
RH2M,2004,77.91,83.24,83.04,81.02,72.65,67.31,60.37,50.57,45.35,49.66,62.67,81.08,67.86
RH2M,2005,84.69,77.86,74.47,63.97,58.62,60.18,58.08,45.25,43.0,42.45,51.56,73.59,61.08
RH2M,2006,83.72,82.86,86.32,81.91,72.92,69.73,64.87,52.16,46.5,44.57,55.75,75.34,67.98
RH2M,2007,85.77,84.46,81.99,78.69,69.05,64.89,62.5,49.97,41.48,47.87,53.51,79.19,66.54
RH2M,2008,85.82,80.24,82.03,73.14,65.17,63.11,58.81,50.72,38.71,40.07,52.12,77.85,63.97
RH2M,2009,83.07,84.67,85.13,80.86,74.81,66.19,67.43,55.2,45.03,43.12,58.78,72.58,67.99
RH2M,2010,75.44,85.22,83.42,75.19,65.3,65.93,63.73,55.34,41.53,37.9,50.39,81.29,64.97
RH2M,2011,84.68,82.82,85.01,82.28,74.45,65.26,59.62,52.73,43.07,47.13,61.47,66.89,67.03
RH2M,2012,83.73,83.1,83.38,78.06,67.33,65.9,55.64,51.84,42.94,39.87,49.92,73.41,64.55
RH2M,2013,84.67,83.76,81.29,73.88,68.38,63.15,60.24,47.58,39.2,44.41,47.38,70.1,63.59
RH2M,2014,85.3,86.89,86.11,82.92,76.41,71.22,67.37,58.01,48.19,41.19,43.7,67.67,67.83
RH2M,2015,85.79,85.98,84.27,79.36,69.63,66.46,62.67,49.24,42.35,40.37,46.17,66.2,64.77
RH2M,2016,76.26,78.05,77.56,69.52,62.38,59.48,57.05,47.94,41.65,37.99,45.95,71.0,60.37
RH2M,2017,83.59,86.55,84.85,83.38,79.31,73.38,65.73,57.9,43.9,40.97,55.84,76.4,69.23
RH2M,2018,72.06,83.88,85.33,81.49,77.27,68.21,67.66,54.64,47.88,45.93,53.76,80.76,68.17
RH2M,2019,85.28,86.07,85.85,83.85,79.47,77.19,66.15,58.59,47.38,54.31,56.65,79.31,71.62
RH2M,2020,84.2,85.87,83.97,80.72,74.99,72.16,68.87,55.85,46.69,46.36,49.27,79.96,69.06
RH2M,2021,85.25,86.12,87.15,84.21,77.58,78.33,72.56,62.4,54.7,47.71,47.38,56.28,69.88
RH2M,2022,85.23,87.27,85.84,85.89,79.3,80.1,76.57,66.57,55.51,41.42,57.98,78.82,73.3
RH2M,2023,84.65,87.94,87.63,85.25,79.07,73.15,72.98,65.18,52.47,52.61,55.35,70.91,72.2
RH2M,2024,83.25,78.01,84.25,81.39,75.0,69.08,52.53,51.3,45.3,47.76,59.61,67.1,66.18
RH2M,2025,83.23,84.84,84.32,82.85,80.12,70.6,65.98,50.94,40.97,40.71,65.89,78.87,69.02
T2M,1981,22.28,21.33,21.16,18.56,16.37,14.32,15.07,18.46,22.23,24.48,25.63,23.46,20.27
T2M,1982,21.78,21.17,21.15,19.94,16.66,15.86,15.25,17.61,20.75,22.77,23.45,22.81,19.92
T2M,1983,22.73,22.16,21.99,21.2,20.22,18.22,17.67,18.67,23.04,24.74,26.62,22.07,21.6
T2M,1984,21.63,20.92,20.7,19.38,18.01,15.53,15.92,17.61,22.8,25.37,22.86,21.83,20.21
T2M,1985,21.5,20.4,20.85,19.19,17.08,14.53,15.02,16.71,21.05,23.48,23.01,21.84,19.55
T2M,1986,20.92,21.11,20.83,20.19,17.28,14.32,15.0,18.07,21.45,23.93,23.26,22.31,19.88
T2M,1987,21.66,21.96,21.85,19.84,18.84,15.57,16.0,19.42,23.2,24.09,26.56,24.13,21.08
T2M,1988,22.57,21.97,21.32,20.75,16.97,16.6,16.81,18.44,22.1,24.26,23.9,23.52,20.76
T2M,1989,21.48,20.68,20.44,19.42,17.14,15.31,15.12,17.49,21.24,24.34,24.34,22.82,19.98
T2M,1990,21.52,21.66,20.71,20.59,18.87,17.67,16.95,18.48,21.23,25.3,25.79,23.69,21.03
T2M,1991,22.33,22.26,21.49,19.55,19.08,16.5,17.0,19.61,23.15,24.48,24.14,23.37,21.07
T2M,1992,23.22,24.43,23.17,22.26,21.02,18.65,17.21,18.8,22.79,25.57,24.95,23.2,22.09
T2M,1993,21.84,21.68,21.06,20.39,18.15,15.39,15.48,17.75,21.4,24.78,25.18,24.51,20.63
T2M,1994,22.4,21.22,21.59,21.08,19.17,17.48,16.99,19.34,22.85,24.43,26.75,23.77,21.42
T2M,1995,22.18,22.08,21.44,20.8,19.7,16.84,17.38,20.61,22.77,26.12,26.51,23.1,21.62
T2M,1996,21.93,21.63,20.79,19.18,18.42,15.36,15.44,18.58,23.15,24.81,27.04,23.17,20.78
T2M,1997,21.7,20.69,21.66,19.4,16.31,17.28,15.73,18.67,22.87,23.97,25.5,23.19,20.57
T2M,1998,23.02,23.81,23.68,22.54,20.87,18.21,17.73,19.97,23.29,25.65,25.86,23.63,22.34
T2M,1999,21.63,21.54,21.19,19.65,17.4,15.78,15.81,18.73,21.55,23.7,23.91,24.37,20.43
T2M,2000,23.14,21.98,21.34,21.17,19.65,18.01,17.01,18.49,23.12,24.98,23.36,22.83,21.25
T2M,2001,21.9,21.49,21.18,20.29,18.37,16.43,16.91,19.58,23.13,25.38,26.16,24.33,21.26
T2M,2002,21.98,21.84,21.92,20.69,19.11,17.16,19.35,19.99,22.77,25.87,26.07,24.16,21.74
T2M,2003,22.86,22.31,21.78,19.3,18.65,17.27,16.46,19.32,22.39,25.92,26.79,22.98,21.33
T2M,2004,22.89,21.62,21.96,20.57,17.73,16.78,17.11,20.36,23.41,25.09,24.22,22.09,21.15
T2M,2005,21.87,22.88,22.45,21.94,19.66,18.5,17.45,20.67,22.72,25.46,26.03,23.65,21.93
T2M,2006,21.98,22.53,21.43,20.02,18.37,16.51,16.32,19.49,21.57,26.09,25.53,23.39,21.09
T2M,2007,21.92,21.63,21.64,21.06,19.28,17.35,17.1,19.6,23.56,24.79,25.99,22.5,21.36
T2M,2008,21.54,21.3,20.54,20.07,19.01,16.37,17.18,19.48,23.31,26.26,26.39,22.59,21.17
T2M,2009,22.09,21.37,20.96,18.65,17.91,17.42,16.1,18.8,23.3,25.84,25.07,23.6,20.92
T2M,2010,23.37,22.15,21.88,22.45,20.43,17.68,17.63,18.67,22.66,26.66,26.46,21.92,21.82
T2M,2011,21.56,21.15,21.17,20.02,18.65,17.55,16.62,18.32,22.64,25.47,25.05,24.46,21.05
T2M,2012,21.64,22.05,21.5,19.26,18.53,17.58,16.73,21.0,23.98,26.59,26.39,23.38,21.55
T2M,2013,22.07,21.89,21.61,20.11,18.66,17.03,16.93,19.99,24.1,25.65,26.98,24.02,21.58
