-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -11.8071   Longitude 33.7754 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1197.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,81.4,86.66,87.52,83.46,82.26,75.49,75.11,69.36,64.69,65.03,62.93,77.6,75.92
RH2M,1982,85.18,87.68,87.33,87.6,85.51,83.55,78.72,74.68,68.3,69.92,75.97,84.77,80.73
RH2M,1983,87.29,87.24,89.04,88.59,85.63,81.42,80.61,75.31,68.0,66.08,62.88,81.29,79.43
RH2M,1984,86.25,88.38,88.62,86.48,85.76,85.36,80.75,72.05,64.77,64.15,76.48,84.59,80.28
RH2M,1985,83.94,87.48,87.99,88.17,85.19,79.98,76.94,73.29,68.83,66.85,75.61,85.01,79.9
RH2M,1986,88.17,85.89,88.59,88.53,84.44,80.1,74.86,70.49,67.0,66.92,75.19,87.42,79.77
RH2M,1987,88.49,87.48,87.98,84.73,83.1,78.02,75.45,75.74,67.58,66.92,61.85,76.52,77.79
RH2M,1988,86.78,87.1,87.45,85.87,82.74,82.37,76.84,71.01,63.86,60.92,72.02,77.38,77.83
RH2M,1989,87.17,88.23,88.81,88.63,86.0,83.07,79.61,75.86,68.56,64.25,69.37,81.98,80.09
RH2M,1990,85.89,87.27,82.92,84.85,82.41,76.45,71.4,68.69,62.65,56.66,60.52,72.76,74.3
RH2M,1991,86.14,85.53,87.92,85.56,83.6,77.76,74.95,68.5,59.73,62.84,68.81,82.24,76.94
RH2M,1992,83.17,79.28,85.29,81.5,82.1,77.27,70.12,66.36,60.34,56.02,63.14,77.42,73.5
RH2M,1993,84.84,88.19,89.84,87.65,83.1,79.91,78.21,73.79,67.53,60.88,69.41,69.89,77.7
RH2M,1994,84.77,86.5,83.85,83.6,77.96,75.5,73.06,70.56,61.78,61.23,59.36,77.05,74.55
RH2M,1995,85.74,85.84,86.54,83.88,82.09,76.83,71.62,71.4,60.67,57.79,59.21,79.0,75.02
