-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -16.9258   Longitude 35.2711 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 153.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,77.15,86.2,81.9,73.02,69.48,60.01,61.58,54.04,49.06,48.55,48.85,62.49,64.25
RH2M,1982,83.74,87.14,83.08,75.08,69.18,60.83,63.14,52.52,53.93,53.02,54.8,63.41,66.55
RH2M,1983,63.36,79.33,78.24,64.41,58.88,59.07,61.71,56.39,44.68,49.64,51.34,75.38,61.8
RH2M,1984,73.03,81.83,85.74,79.77,69.06,65.32,57.56,53.01,45.27,42.99,64.09,72.37,65.77
RH2M,1985,81.92,87.27,85.02,79.69,66.19,59.79,57.73,54.77,47.12,53.87,54.7,80.09,67.26
RH2M,1986,87.96,85.45,81.6,77.66,64.83,59.62,55.88,47.45,45.16,57.73,63.85,72.4,66.53
RH2M,1987,79.39,80.74,67.33,60.81,61.61,61.22,55.3,52.0,45.12,49.02,45.48,68.7,60.48
RH2M,1988,68.76,83.25,86.68,74.52,70.71,60.59,66.45,54.32,45.55,50.97,64.1,67.11,66.04
RH2M,1989,71.58,89.32,87.94,83.76,69.58,58.07,52.83,48.01,43.32,45.51,55.4,72.08,64.63
RH2M,1990,83.94,84.48,68.67,64.13,65.28,58.76,54.81,56.08,48.58,41.68,47.36,55.45,60.64
RH2M,1991,67.1,79.33,84.7,76.41,62.53,57.19,55.68,49.22,42.24,49.06,60.81,58.99,61.83
RH2M,1992,56.48,55.11,57.07,55.71,54.52,57.87,58.69,51.79,44.59,39.71,51.29,65.85,54.07
RH2M,1993,81.11,81.65,74.08,63.57,51.79,56.43,60.85,53.77,47.24,48.75,56.87,60.6,61.28
RH2M,1994,69.83,70.19,67.23,60.65,55.22,57.28,55.84,55.62,48.44,52.54,41.86,56.95,57.6
