-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -10.0758   Longitude 33.689 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1001.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,68.75,76.06,78.43,77.86,75.43,68.18,64.7,57.5,51.02,50.4,50.14,64.23,65.17
RH2M,1982,74.04,76.84,79.81,80.81,80.99,78.17,71.74,64.82,54.71,54.82,61.9,74.51,71.07
RH2M,1983,77.54,77.3,79.83,80.63,77.98,73.07,68.96,63.71,51.27,50.27,46.43,63.8,67.54
RH2M,1984,78.77,79.42,79.55,81.45,79.86,78.83,72.68,63.84,51.79,50.69,58.85,74.29,70.82
RH2M,1985,74.1,80.43,78.24,82.39,79.95,75.58,70.25,63.03,54.91,51.22,60.44,71.21,70.08
RH2M,1986,80.15,76.3,79.83,80.89,79.42,74.28,67.38,59.87,52.48,51.66,61.87,75.76,69.97
RH2M,1987,79.26,77.7,79.89,80.14,79.5,73.23,68.99,62.48,52.93,53.54,50.24,63.46,68.42
RH2M,1988,75.47,76.63,77.63,79.64,75.36,72.62,65.98,58.76,49.17,46.19,59.22,64.39,66.72
RH2M,1989,79.92,78.4,81.21,82.79,82.1,78.01,73.2,64.75,55.55,49.21,53.72,72.07,70.89
RH2M,1990,75.57,80.03,78.31,79.31,76.23,69.03,64.05,58.99,51.58,44.95,50.63,63.98,65.98
RH2M,1991,77.47,76.9,78.33,82.3,79.18,72.6,67.84,59.9,47.39,49.79,51.0,68.99,67.61
RH2M,1992,72.76,74.48,77.57,78.51,75.21,69.78,63.57,57.36,48.71,45.12,54.9,66.51,65.35
RH2M,1993,74.96,78.71,81.4,82.65,79.3,74.85,70.65,63.93,53.6,47.08,50.28,48.84,67.11
RH2M,1994,73.47,78.99,79.61,78.08,73.09,67.78,67.85,60.3,50.51,48.43,50.17,67.94,66.3
RH2M,1995,77.3,77.92,81.39,80.62,77.18,70.48,64.87,61.09,50.2,47.31,49.22,62.27,66.61
RH2M,1996,75.65,79.67,79.68,80.69,80.01,74.44,68.33,59.08,52.68,49.67,44.86,68.81,67.78
RH2M,1997,74.6,79.72,77.99,83.13,78.36,76.54,71.64,61.69,51.81,51.19,57.71,73.36,69.76
RH2M,1998,77.3,76.05,75.4,77.65,63.69,61.06,58.68,56.36,52.08,47.98,49.26,56.59,62.59
RH2M,1999,72.51,72.27,79.77,81.74,79.64,74.52,72.83,65.71,55.08,48.78,54.76,57.06,67.87
RH2M,2000,65.76,69.95,76.88,75.91,66.05,64.09,61.47,57.15,48.2,46.07,64.81,71.36,63.95
RH2M,2001,80.35,76.73,77.66,76.57,70.91,66.11,60.79,54.59,46.6,48.74,46.46,57.37,63.52
RH2M,2002,76.94,77.12,78.55,77.8,68.52,68.77,60.85,56.99,50.48,45.03,59.05,66.51,65.47
RH2M,2003,73.28,72.35,73.85,77.57,69.2,66.16,64.94,51.98,54.5,49.07,54.23,70.79,64.78
RH2M,2004,75.72,76.6,77.71,79.26,76.11,71.78,65.92,56.11,51.48,47.64,56.13,77.15,67.62
RH2M,2005,77.23,77.5,79.85,76.85,72.12,68.03,64.3,54.57,49.96,46.41,47.29,58.94,64.36
RH2M,2006,68.76,72.34,78.99,81.17,79.73,75.05,70.44,61.42,54.23,47.78,58.94,76.67,68.78
RH2M,2007,77.84,79.54,78.48,80.19,77.08,73.66,69.9,63.17,52.69,53.85,50.64,73.0,69.14
RH2M,2008,76.68,78.82,79.13,79.98,75.82,69.9,65.5,60.24,48.61,48.42,56.55,71.64,67.59
RH2M,2009,74.39,78.37,80.0,80.87,75.87,70.0,68.23,59.55,50.04,47.04,61.74,69.68,67.92
RH2M,2010,77.24,78.84,80.71,78.81,77.15,72.86,68.4,61.5,51.35,44.58,47.96,67.39,67.19
RH2M,2011,73.46,80.21,79.36,82.21,79.89,73.0,67.01,61.85,53.83,52.69,55.92,70.38,69.09
RH2M,2012,78.35,75.73,79.87,78.89,74.9,70.24,63.15,57.19,49.01,46.68,58.27,68.39,66.7
RH2M,2013,77.08,78.49,79.61,78.35,73.27,66.21,65.01,56.5,48.26,48.5,48.36,67.14,65.52
RH2M,2014,79.6,80.04,81.48,82.7,79.45,75.13,70.45,60.79,55.12,54.29,55.11,67.21,70.07
RH2M,2015,79.85,78.13,79.37,79.41,73.38,68.44,63.81,55.94,50.59,48.96,60.57,72.58,67.53
RH2M,2016,81.05,79.59,79.24,82.09,79.02,75.69,70.63,61.88,53.25,47.41,48.55,64.59,68.56
RH2M,2017,76.79,77.62,81.55,81.78,77.9,74.1,69.17,67.37,54.86,51.17,62.28,73.83,70.67
RH2M,2018,79.28,76.08,81.68,80.13,79.22,76.72,73.72,63.27,55.01,58.11,58.31,77.0,71.55
RH2M,2019,79.92,80.07,79.64,82.03,79.75,75.02,69.15,61.39,56.55,56.33,59.53,77.46,71.37
RH2M,2020,81.09,79.98,83.51,82.22,80.63,78.89,76.15,68.35,59.56,55.49,57.87,74.36,73.18
RH2M,2021,79.25,80.43,80.76,81.42,77.3,74.87,74.51,71.14,62.95,56.28,51.63,55.25,70.43
RH2M,2022,77.62,81.74,82.27,81.98,79.1,77.69,74.39,66.54,56.56,48.32,53.22,73.48,71.03
RH2M,2023,77.1,78.44,80.82,83.08,79.92,74.67,72.28,65.62,55.66,50.1,54.28,71.25,70.24
RH2M,2024,80.52,78.88,80.54,80.95,79.44,75.2,64.1,62.24,53.73,55.88,51.63,64.03,68.91
RH2M,2025,76.7,75.72,80.84,80.26,80.97,76.12,72.15,63.44,54.02,49.79,58.73,67.54,69.67
T2M,1981,24.64,23.38,23.28,21.77,19.67,17.46,17.47,20.52,23.39,25.94,26.76,25.19,22.45
T2M,1982,23.98,23.51,22.97,22.1,19.7,18.47,17.94,19.65,22.64,25.38,25.59,23.92,22.14
T2M,1983,23.81,23.96,23.67,22.57,21.34,19.85,19.28,20.22,23.25,25.12,27.25,25.12,22.94
T2M,1984,22.28,22.71,22.8,21.49,19.85,17.9,17.99,18.91,22.75,25.17,25.42,23.66,21.74
T2M,1985,23.73,22.23,22.84,21.61,19.41,17.34,17.4,18.7,22.96,24.52,24.95,24.09,21.64
