-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -15.3856   Longitude 34.6613 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 846.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,80.3,88.12,87.82,84.18,81.19,72.61,71.45,64.01,54.71,54.17,53.35,69.53,71.71
RH2M,1982,82.62,87.08,86.03,84.06,81.14,76.82,75.15,66.36,60.86,62.52,62.28,72.62,74.74
RH2M,1983,71.59,78.36,78.56,69.71,66.5,64.07,67.68,63.05,43.21,50.08,56.12,81.51,65.85
RH2M,1984,81.22,88.7,88.56,87.36,85.36,82.95,75.96,67.16,54.27,48.49,72.54,78.93,75.91
RH2M,1985,83.95,88.69,86.76,87.01,81.47,75.59,73.03,69.42,61.01,56.95,62.84,82.23,75.68
RH2M,1986,88.92,87.6,86.68,87.54,81.06,76.73,71.27,60.77,54.52,62.67,73.07,80.56,75.89
RH2M,1987,83.96,85.8,81.36,76.08,73.71,71.82,65.94,61.89,48.64,50.82,46.05,72.13,68.12
RH2M,1988,79.03,85.46,86.3,81.12,80.59,70.53,71.1,59.95,48.66,54.72,64.89,73.63,71.31
RH2M,1989,80.67,88.27,89.32,89.08,83.31,79.31,73.18,66.88,56.3,51.75,59.62,77.48,74.52
RH2M,1990,84.96,86.04,79.65,77.19,75.49,68.95,58.58,58.71,51.2,41.77,50.43,67.16,66.57
RH2M,1991,79.47,82.14,85.18,81.72,70.88,66.62,62.98,54.24,39.5,50.93,65.11,71.48,67.45
