-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  -15.3582   Longitude 35.3694 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 691.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,76.1,83.55,83.73,81.85,79.4,72.52,72.24,67.97,58.59,58.61,56.31,69.32,71.63
RH2M,1982,81.71,85.44,82.73,81.97,79.38,75.63,72.29,66.23,60.74,59.93,64.98,74.11,73.7
RH2M,1983,75.22,81.17,81.84,75.02,74.1,67.85,67.22,65.46,49.69,55.52,60.46,78.46,69.3
RH2M,1984,79.75,85.33,86.01,83.55,82.35,80.76,74.03,67.44,56.38,52.6,71.49,78.64,74.82
RH2M,1985,82.43,85.38,84.16,82.93,80.39,74.99,72.14,68.41,60.48,57.69,62.17,80.4,74.25
RH2M,1986,86.08,84.32,83.43,84.3,80.19,75.35,71.73,62.92,54.08,58.3,69.58,79.77,74.12
RH2M,1987,83.73,82.86,81.56,80.84,81.32,75.16,70.85,67.04,55.49,54.57,49.31,69.61,70.99
RH2M,1988,77.11,83.79,83.89,81.68,79.66,74.3,71.75,63.69,51.33,52.86,65.28,70.86,71.32
RH2M,1989,77.87,87.02,85.04,84.07,78.67,74.56,71.06,64.06,55.43,51.07,59.57,78.86,72.19
RH2M,1990,81.98,81.67,75.59,71.89,74.68,68.99,61.72,58.16,55.02,47.08,49.5,63.33,65.72
RH2M,1991,78.53,82.81,84.37,83.16,76.52,72.42,68.47,60.16,46.91,55.35,65.27,72.75,70.5
RH2M,1992,78.04,69.82,73.06,66.9,59.75,63.43,63.91,57.62,47.53,45.6,58.12,69.91,62.81
RH2M,1993,79.93,81.38,80.49,76.59,67.72,67.73,63.45,56.85,49.93,50.62,61.75,66.28,66.81
RH2M,1994,74.95,78.06,75.25,71.35,63.5,66.04,64.24,59.37,50.63,51.93,45.39,68.58,64.06
RH2M,1995,81.58,81.01,81.82,77.39,75.1,70.66,67.26,59.2,48.72,44.01,54.56,74.38,67.92
RH2M,1996,81.57,85.48,85.36,83.92,81.49,75.3,71.77,65.71,55.11,47.3,47.88,75.2,71.33
RH2M,1997,83.75,88.49,85.42,82.83,77.49,75.83,74.19,63.42,57.91,62.91,55.41,76.08,73.58
RH2M,1998,83.68,78.65,75.64,66.2,56.55,60.4,60.5,68.62,53.71,53.03,58.85,70.62,65.49
RH2M,1999,85.35,86.35,86.03,85.23,80.64,79.26,77.34,71.72,63.27,56.86,67.4,66.22,75.4
RH2M,2000,72.75,79.13,77.02,76.87,69.37,71.91,68.05,59.93,48.73,52.53,70.16,75.33,68.44
RH2M,2001,77.9,84.87,84.37,80.99,75.73,69.57,64.68,57.09,50.07,46.9,50.15,69.27,67.54
RH2M,2002,80.7,81.21,83.09,81.2,72.7,74.15,66.57,61.94,58.86,52.07,56.34,66.37,69.53
RH2M,2003,81.37,81.25,83.18,80.29,72.42,72.67,72.67,61.1,53.33,45.99,53.85,72.47,69.16
RH2M,2004,75.74,81.86,83.46,84.52,81.71,78.45,72.56,64.19,57.73,53.85,62.44,78.25,72.87
RH2M,2005,82.27,77.02,73.77,68.66,67.11,66.29,65.3,52.71,51.01,50.87,52.83,72.26,64.97
RH2M,2006,82.94,81.71,84.54,82.48,71.99,71.55,68.96,56.39,53.87,50.3,60.7,71.94,69.71
RH2M,2007,83.98,82.04,82.16,82.53,80.14,74.62,72.74,64.22,53.09,53.35,60.02,78.01,72.21
RH2M,2008,83.06,78.9,84.13,80.93,75.34,73.33,69.35,63.35,51.66,47.87,53.33,76.06,69.78
RH2M,2009,80.8,82.1,83.76,81.21,76.13,69.5,72.39,63.58,52.83,50.29,57.43,71.24,70.06
RH2M,2010,69.48,82.68,81.72,77.24,68.75,74.01,73.58,70.22,56.38,46.47,53.44,81.05,69.52
RH2M,2011,84.74,82.8,83.74,83.13,76.94,69.65,66.0,60.36,52.96,58.03,64.88,65.92,70.7
RH2M,2012,80.53,80.95,81.38,78.72,70.77,70.42,62.3,57.38,50.25,46.62,56.47,74.91,67.52
RH2M,2013,85.27,85.62,83.7,79.15,75.84,73.58,73.07,62.67,51.89,60.27,51.38,66.28,70.68
RH2M,2014,84.59,84.43,81.66,77.55,71.37,69.71,66.7,57.29,55.89,47.79,56.66,66.66,68.26
RH2M,2015,85.89,85.37,83.96,80.51,77.3,74.32,72.77,64.09,55.13,49.36,53.97,67.68,70.8
RH2M,2016,74.25,75.64,79.57,77.71,70.98,68.54,70.78,63.39,48.52,44.24,55.72,74.85,67.02
RH2M,2017,82.92,82.6,83.98,84.0,79.39,76.93,71.44,66.22,55.02,47.12,61.97,78.27,72.44
RH2M,2018,79.56,86.32,84.74,84.2,80.68,76.9,80.13,71.33,64.32,60.83,62.19,77.7,75.7
RH2M,2019,85.26,82.95,84.86,83.25,80.38,78.35,70.54,66.42,56.09,52.47,60.93,79.12,73.35
RH2M,2020,84.86,85.04,80.57,79.46,74.26,74.06,73.29,64.8,58.1,52.95,49.14,78.14,71.21
RH2M,2021,82.54,83.93,84.75,84.07,77.25,77.86,74.94,66.51,62.45,52.72,54.83,62.39,71.95
RH2M,2022,84.86,84.16,84.47,84.45,79.19,81.76,78.69,72.06,63.61,51.62,61.14,77.42,75.24
RH2M,2023,83.47,86.91,86.46,83.09,74.68,69.51,74.29,69.77,60.09,53.75,68.93,71.87,73.49
